zip,home_value,gentrifying_rate,age_median,commute_time,education_college_or_above,family_size,income_household_median,male,married,race_white,race_black,race_asian
10307,762582,6.491772297,42.6,43.4,38.6,3.4,117469,50.8,57.5,90.9,0.1,3.2
10308,591055,5.091702417,42.8,48.5,41.8,3.28,116082,47.7,56.8,89.4,1.4,3.9
10309,625525,5.818837209,40.5,47.6,37.5,3.44,107500,50.4,56,91.9,0.6,3
10310,560265,5.826322522,38.4,40.1,32.2,3.37,96161,47.8,48.2,54.9,22.7,5.4
10312,602853,5.976237918,40.6,43.4,37.3,3.42,100875,48.9,54.4,86,0.8,7
10314,585903,6.19491848,42.1,42.1,36.7,3.44,94578,48,53.5,68.9,4,17.8
10451,0,0,34.3,43,19,3.33,33945,44.7,25.8,15.3,43.5,1.2
10452,0,0,32.2,45.5,14.7,3.46,33877,47.3,26,14.7,33.8,1.3
10453,492427,14.12584624,33.2,45.4,14.8,3.5,34860,47,29.7,11.2,32.3,2
10454,0,0,32.3,40.3,12.2,3.6,21846,46.3,28.2,15.6,32.2,0.2
10455,0,0,31.6,43.5,14.5,3.39,30741,47.4,25.2,14.3,32.5,1.4
