ZCTA,Median Home Value (dollars),Bachelor's degree or higher (Older than 25),Fire Department Battalion,Police Precinct,Population,White,Black or African American,Asian,"Median Houshold Income (>$200,000)"
11694,"810,500","6,810",47,100,"21,788","16,953","1,634",502,"1,278"
10044,"932,000","6,268",14,114,"11,846","5,356","1,600","3,421","1,279"
11418,"729,400","7,895",51,102,"38,317","10,635","3,378","8,996","1,287"
11429,"609,200","5,360",53,105,"27,845","1,445","18,682","2,067","1,299"
10040,"454,000","12,029",13,34,"43,653","12,288","2,758",835,"1,317"
11104,"678,900","10,448",49,108,"26,939","12,742",847,"7,264","1,321"
11411,"591,400","5,238",54,105,"21,329",811,"18,728",313,"1,376"
10310,"596,200","5,633",22,120,"26,239","13,637","6,126","1,379","1,389"
11415,"373,500","7,832",50,102,"20,315","9,812","1,621","4,598","1,389"
10462,"398,700","14,416",3,49,"77,230","12,991","19,601","12,945","1,398"
11360,"679,500","8,092",53,109,"19,719","11,314",256,"6,091","1,424"
11419,"654,700","7,065",50,102,"48,096","3,076","7,176","16,389","1,429"
11109,"544,600","4,705",45,108,"7,280","3,975",91,"2,400","1,434"
11421,"665,300","7,709",51,102,"41,552","11,079","2,181","7,504","1,445"
11219,"1,055,800","9,577",40,66,"92,283","57,607","1,444","20,305","1,454"
10069,"1,817,100","4,065",9,20,"6,259","2,793",207,"2,075","1,481"
11422,"599,100","7,126",54,105,"32,296","2,457","26,049",782,"1,525"
11204,"1,066,800","15,223",42,62,"80,575","44,660",658,"24,763","1,536"
10461,"626,700","9,747",20,49,"50,868","21,074","5,029","6,646","1,537"
11378,"815,800","7,288",46,104,"39,250","22,272",502,"5,336","1,626"
11232,"837,000","6,855",40,72,"28,137","10,725","2,021","4,345","1,634"
11358,"938,200","10,186",53,109,"37,647","13,694",405,"18,085","1,715"
11412,"597,500","7,301",54,113,"40,593",889,"33,105","1,299","1,717"
11237,"949,700","13,774",28,90,"47,183","15,083","5,890","3,107","1,744"
11207,"632,600","12,533",39,75,"96,801","12,169","58,936","1,440","1,800"
10282,"2,000,000","3,589",1,1,"6,450","4,813",137,885,"1,839"
10018,"911,900","5,699",7,10,"8,659","4,425",544,"2,558","1,845"
11102,"798,900","12,171",49,114,"27,069","14,301","2,035","4,320","1,845"
11365,"885,800","12,431",52,111,"46,424","12,545","5,461","20,069","1,872"
11361,"870,100","10,336",53,111,"29,544","13,140","1,154","11,948","1,886"
11435,"525,000","13,987",50,103,"59,961","9,595","14,971","13,860","1,896"
11367,"631,500","12,528",52,107,"43,286","20,538","3,686","11,826","1,914"
11355,"718,600","14,308",52,109,"79,495","8,009","2,217","57,749","1,914"
11420,"654,700","7,983",50,106,"51,153","4,497","11,379","17,131","1,923"
11413,"612,700","9,019",54,105,"44,832",793,"39,174",758,"1,934"
11432,"781,100","16,463",50,107,"64,268","9,662","11,138","27,628","1,940"
10471,"371,400","9,626",27,50,"22,888","13,205","2,340",910,"1,952"
11103,"998,200","14,914",49,114,"34,752","21,080",923,"4,684","1,973"
10304,"653,100","9,537",21,120,"44,864","20,256","12,279","5,599","1,977"
11220,"978,800","15,602",40,72,"93,008","22,067","2,298","37,912","1,988"
11368,"797,200","10,284",46,110,"112,750","24,335","10,571","13,429","2,023"
11379,"863,900","10,294",46,104,"38,261","26,106",507,"4,688","2,037"
11208,"621,500","10,694",39,75,"108,180","18,676","52,901","8,740","2,037"
10466,"577,600","11,839",15,47,"72,273","6,019","46,408","1,872","2,061"
